День 1, Фил отработал 2 кармы
День 136, Фил отработал 517 кармы
День 137, Фил отработал 518 кармы
День 138, Фил отработал 523 кармы
День 139, Фил отработал 527 кармы
День 140, Фил отработал 531 кармы
День 141, Фил отработал 533 кармы
День 142, Фил отработал 534 кармы
День 143, Фил отработал 540 кармы
День 144, Фил отработал 545 кармы
День 145, Фил отработал 550 кармы
День 146, Фил отработал 554 кармы
День 147, Фил отработал 556 кармы
День 148, Фил отработал 562 кармы
День 149, Фил отработал 566 кармы
День 150, Фил отработал 572 кармы
День 151, Фил отработал 574 кармы
День 152, Фил отработал 580 кармы
День 153, Фил отработал 582 кармы
День 154, Фил отработал 588 кармы
День 155, Фил отработал 589 кармы
День 156, Фил отработал 590 кармы
День 157, Фил отработал 591 кармы
День 158, Фил отработал 597 кармы
День 159, Фил отработал 599 кармы
День 160, Фил отработал 606 кармы
День 161, Фил отработал 610 кармы
День 162, Фил отработал 617 кармы
День 163, Фил отработал 624 кармы
День 164, Фил отработал 630 кармы
День 165, Фил отработал 633 кармы
День 166, Фил отработал 640 кармы
День 167, Фил отработал 645 кармы
День 168, Фил отработал 646 кармы
День 169, Фил отработал 651 кармы
День 170, Фил отработал 653 кармы
День 171, Фил отработал 655 кармы
День 172, Фил отработал 660 кармы
День 173, Фил отработал 665 кармы
День 174, Фил отработал 667 кармы
День 175, Фил отработал 670 кармы
День 176, Фил отработал 674 кармы
День 177, Фил отработал 679 кармы
День 178, Фил отработал 686 кармы
День 179, Фил отработал 693 кармы
День 180, Фил отработал 697 кармы
День 181, Фил отработал 699 кармы
День 182, Фил отработал 701 кармы
День 183, Фил отработал 704 кармы
День 184, Фил отработал 707 кармы
Фил впал в депрессию
День 186, Фил отработал 714 кармы
День 187, Фил отработал 715 кармы
День 188, Фил отработал 719 кармы
Фил впал в депрессию
День 190, Фил отработал 720 кармы
День 191, Фил отработал 724 кармы
День 192, Фил отработал 728 кармы
День 193, Фил отработал 730 кармы
Фил разбился на машине
День 195, Фил отработал 737 кармы
День 196, Фил отработал 739 кармы
День 197, Фил отработал 746 кармы
День 198, Фил отработал 750 кармы
День 199, Фил отработал 755 кармы
День 200, Фил отработал 760 кармы
День 201, Фил отработал 764 кармы
День 202, Фил отработал 766 кармы
День 203, Фил отработал 773 кармы
День 204, Фил отработал 776 кармы
День 205, Фил отработал 780 кармы
Фил вышел из Круга!!!!
